query,rewritten
"when did the ncaa adopt the shot clock","When did the NCAA introduce the shot clock (timer, countdown) in college basketball?"
"What is the main criticism of the film ""Strangers: Prey at Night"" according to the context?","What is the primary criticism (objection, complaint) of the movie ""Strangers: Prey at Night"" according to film (movie, cinema) reviews and critics?"
"who signed an alliance between germany and italy","Who signed the Tripartite Pact (treaty, agreement) between Germany and Italy in World War II?"
"is planetes worth watching","Is the TV series ""Planetes"" worth watching (viewing, streaming)?"
"who is the actor that plays oliver queen","Who plays the role (part, character) of Oliver Queen in the TV show Arrow?"
"What was the Chinese president's investment plan for Pakistan announced during his visit?","What was the Chinese president's economic investment strategy (initiative, blueprint) for Pakistan announced during his official trip (visit, tour)?"
"describe the structure of a nephron","What is the anatomy (composition, organization) of a nephron, including its functional (working) units and components?"
"what is the general name given to molecules detected by benedict's reagent","What is the general term (designation, classification) given to carbohydrates (sugars, saccharides) detected by Benedict's reagent?"
"at which battle did the french navy help","In which naval battle did the French fleet provide assistance (support, aid)?"
"diseases caused by a single gene mutation","What are the genetic disorders (diseases, conditions) caused by a single gene mutation (genetic defect, alteration)?"
"what are boils caused from","What are the causes (origins, sources) of boils (abscesses, skin lesions)?"
"Who recorded the best time in the first day of free practice for the Australian GP?","What is the fastest lap time (record, quickest) set on the first day of free practice (FP1) for the Australian Grand Prix (GP)?"
"Who was the coach of Boise State during the game against Washington?","Who was the head coach (leader, mentor) of Boise State University's football team during the matchup (game, contest) against the University of Washington?"
"when does new season of peoples court start","When does the new season of Judge Judy (The People's Court, courtroom TV shows) premiere (start, air, debut)?"
"What are some of the activities that can be done at a beachfront villa in Koh Samui, Thailand?","What activities (things to do, pursuits) can you enjoy at a beachfront villa in Koh Samui, Thailand (beach house, seaside resort)?"
"norway major mountain ranges","What are the primary (main, significant) mountain ranges in Norway?"
"where was mad max beyond the thunderdome filmed","Where was Mad Max Beyond Thunderdome (movie, film) shot (filmed, recorded) on location?"
"who is the owner of crown plaza rosemont","Who is the proprietor (owner, manager) of the Crowne Plaza hotel in Rosemont?"
"who plays rachel's boyfriend joshua on friends","Who plays the role of Rachel's boyfriend Joshua (partner, beau) on the TV show Friends?"
"What are the benefits of going to the drive-in mentioned in the context?","What are the advantages (benefits, perks) of attending a drive-in movie theater mentioned in the given context?"
"what is ductless air conditioning","What is ductless (non-ducted, ventless) air conditioning (heating and cooling, HVAC) and how does it work?"
"what are padron peppers","What are Padrón peppers (Spanish peppers, Capsicum annuum) and their characteristics?"
"who popularized the idea of evolution in the mid 1800s","Who is credited with popularizing the concept of evolution (natural selection, adaptation) in the mid-19th century (1800s)?"
"who's the captain of the new jersey devils","Who is the captain of the New Jersey Devils (hockey team, NHL franchise)?"
"how to get rid of skin bumps","How to eliminate (remove, cure) skin bumps (pimples, acne, lesions)?"
"Who invented the Shoe-String Clasp and where did he reside?","Who invented the Shoelace Aglet (shoe-string clasp) and where did they live (reside, dwell)?"
"what does chicago's song 25 or 6 to 4 mean","What is the meaning of Chicago's song ""25 or 6 to 4"" (lyrics, interpretation)?"
"normal bun range","What is the normal range for bun (blood urea nitrogen, urea) levels?"
"when did the dutch lose control of new york","When did the Dutch relinquish (cede, surrender) control of New York City (NYC, New Amsterdam) to the British (English)?"
"how long is a nba game","What is the average duration (length, time) of an NBA (National Basketball Association) game?"
"what is silk","What is silk (fabric, textile) made of (composed, constituted)?"
"Who is being sued for $20 million by an ex-girlfriend he abused?","Who is facing a $20 million lawsuit (legal action, litigation) from a former girlfriend alleging domestic abuse (violence, mistreatment)?"
"why does the american flag have 50 stars","What is the significance (meaning, importance) of the American flag having 50 stars (emblems, symbols), and what do they represent (signify, denote)?"
